Sat Apr  1 07:00:00 2017,27.0,23.0
Sat Apr  1 07:01:00 2017,27.0,23.0
Sat Apr  1 07:02:00 2017,27.0,23.0
Sat Apr  1 07:03:00 2017,27.0,23.0
Sat Apr  1 07:04:00 2017,27.0,24.0
Sat Apr  1 07:05:00 2017,27.0,23.0
Sat Apr  1 07:06:03 2017,27.0,23.0
Sat Apr  1 07:07:00 2017,26.0,23.0
Sat Apr  1 07:08:00 2017,27.0,23.0
Sat Apr  1 07:09:00 2017,27.0,23.0
Sat Apr  1 07:10:00 2017,27.0,23.0
Sat Apr  1 07:11:00 2017,27.0,23.0
Sat Apr  1 07:12:02 2017,27.0,23.0
Sat Apr  1 07:13:00 2017,27.0,23.0
Sat Apr  1 07:14:00 2017,27.0,23.0
Sat Apr  1 07:15:00 2017,27.0,23.0
Sat Apr  1 07:16:00 2017,27.0,23.0
Sat Apr  1 07:17:00 2017,27.0,23.0
Sat Apr  1 07:18:00 2017,27.0,23.0
Sat Apr  1 07:19:00 2017,27.0,23.0
Sat Apr  1 07:20:02 2017,27.0,23.0
Sat Apr  1 07:21:00 2017,27.0,23.0
Sat Apr  1 07:22:00 2017,27.0,23.0
Sat Apr  1 07:23:02 2017,27.0,23.0
Sat Apr  1 07:24:00 2017,27.0,23.0
Sat Apr  1 07:25:02 2017,27.0,23.0
Sat Apr  1 07:26:00 2017,27.0,23.0
Sat Apr  1 07:27:00 2017,27.0,23.0
Sat Apr  1 07:28:03 2017,27.0,23.0
Sat Apr  1 07:29:00 2017,27.0,23.0
Sat Apr  1 07:30:00 2017,27.0,23.0
Sat Apr  1 07:31:00 2017,27.0,23.0
Sat Apr  1 07:32:00 2017,27.0,23.0
Sat Apr  1 07:33:00 2017,27.0,23.0
Sat Apr  1 07:34:00 2017,27.0,23.0
Sat Apr  1 07:35:00 2017,27.0,23.0
Sat Apr  1 07:36:00 2017,27.0,23.0
Sat Apr  1 07:37:00 2017,27.0,23.0
Sat Apr  1 07:38:02 2017,28.0,23.0
Sat Apr  1 07:39:00 2017,27.0,23.0
Sat Apr  1 07:40:00 2017,28.0,23.0
Sat Apr  1 07:41:00 2017,27.0,23.0
Sat Apr  1 07:42:00 2017,27.0,23.0
Sat Apr  1 07:43:00 2017,27.0,23.0
Sat Apr  1 07:44:02 2017,28.0,23.0
Sat Apr  1 07:45:00 2017,27.0,23.0
Sat Apr  1 07:46:00 2017,28.0,23.0
Sat Apr  1 07:47:00 2017,28.0,23.0
Sat Apr  1 07:48:02 2017,28.0,23.0
Sat Apr  1 07:49:00 2017,27.0,23.0
Sat Apr  1 07:50:00 2017,28.0,23.0
Sat Apr  1 07:51:00 2017,28.0,23.0
Sat Apr  1 07:52:02 2017,28.0,23.0
Sat Apr  1 07:53:00 2017,27.0,23.0
Sat Apr  1 07:54:00 2017,28.0,23.0
Sat Apr  1 07:55:00 2017,28.0,23.0
Sat Apr  1 07:56:00 2017,28.0,23.0
Sat Apr  1 07:57:00 2017,28.0,23.0
Sat Apr  1 07:58:00 2017,28.0,23.0
Sat Apr  1 07:59:00 2017,28.0,23.0
Sat Apr  1 08:00:00 2017,28.0,23.0
Sat Apr  1 08:01:02 2017,28.0,23.0
Sat Apr  1 08:02:00 2017,27.0,23.0
Sat Apr  1 08:03:00 2017,28.0,23.0
Sat Apr  1 08:04:00 2017,28.0,23.0
Sat Apr  1 08:05:00 2017,28.0,23.0
Sat Apr  1 08:06:00 2017,28.0,23.0
Sat Apr  1 08:07:00 2017,28.0,23.0
Sat Apr  1 08:08:00 2017,28.0,23.0
Sat Apr  1 08:09:00 2017,28.0,23.0
Sat Apr  1 08:10:00 2017,28.0,23.0
Sat Apr  1 08:11:00 2017,28.0,23.0
Sat Apr  1 08:12:00 2017,28.0,23.0
Sat Apr  1 08:13:00 2017,28.0,23.0
Sat Apr  1 08:14:00 2017,28.0,23.0
Sat Apr  1 08:15:00 2017,28.0,23.0
Sat Apr  1 08:16:00 2017,28.0,23.0
Sat Apr  1 08:17:00 2017,28.0,23.0
Sat Apr  1 08:18:04 2017,27.0,23.0
Sat Apr  1 08:19:00 2017,27.0,23.0
Sat Apr  1 08:20:00 2017,28.0,23.0
Sat Apr  1 08:21:02 2017,28.0,23.0
Sat Apr  1 08:22:00 2017,27.0,23.0
Sat Apr  1 08:23:00 2017,28.0,23.0
Sat Apr  1 08:24:02 2017,28.0,23.0
Sat Apr  1 08:25:04 2017,27.0,23.0
Sat Apr  1 08:26:00 2017,27.0,23.0
Sat Apr  1 08:27:02 2017,28.0,23.0
Sat Apr  1 08:28:00 2017,27.0,23.0
Sat Apr  1 08:29:00 2017,28.0,23.0
